"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"2365210","UCK2",-1.05418973333333,7.64344571111111,-8.24088462367062,7.31600878496223e-13,9.3082467841505e-11,1.05418973333333,18.899077372682
"3416895","METTL7B",-1.28453453333333,5.84968911111111,-8.23753247091849,7.43855274214035e-13,9.40976921880754e-11,1.28453453333333,18.8828658278828
"3277751","NUDT5",-1.17685422222222,5.16470746666667,-8.22465255251369,7.92872194770476e-13,9.97251993091025e-11,1.17685422222222,18.8205869461258
"3299585","LIPA",-1.33377164444444,7.48136766666667,-8.20958257006861,8.54322017822566e-13,1.06843647353935e-10,1.33377164444444,18.7477395874177
"2441043","OLFML2B",-1.3107212,5.33585686666667,-8.20088417348979,8.91926606023866e-13,1.10916364549103e-10,1.3107212,18.7057026093153
"2460296","AGT",-1.49404862222222,6.03891613333333,-8.19679149251438,9.10185830456192e-13,1.12551125360513e-10,1.49404862222222,18.6859264847391
"2784113","CCNA2",-1.42200726666666,5.50795267777778,-8.19126149990715,9.35450237252435e-13,1.15029023308175e-10,1.42200726666666,18.6592079123634
"2618940","CTNNB1",-1.29850415555555,8.29438272222222,-8.18074489871591,9.85439331933502e-13,1.20502806306602e-10,1.29850415555555,18.6084049163061
"3388859","MMP12",-2.43916262222222,4.88292808888889,-8.17625708243181,1.00757317839262e-12,1.22528691876243e-10,2.43916262222222,18.586728939519
"3257338","KIF20B",-1.36011546666667,2.59536668888889,-8.14473849003236,1.17761102978165e-12,1.4087171943763e-10,1.36011546666667,18.4345552493828
"3759356","EFTUD2",-1.13524697777778,6.61241331111111,-8.13386469205756,1.24267216275835e-12,1.4785111878094e-10,1.13524697777778,18.3820805070198
"3318009","RRM1",-1.07461253333333,6.22256693333333,-8.12374633449511,1.30642340052981e-12,1.54600459511085e-10,1.07461253333333,18.3332628650885
"2402459","STMN1",-1.11421257777777,6.6671358,-8.11808657448773,1.34349252716846e-12,1.58136973344946e-10,1.11421257777777,18.3059613106998
"3442322","CDCA3",-1.19012917777778,4.94408874444444,-8.08807562967497,1.55827139634053e-12,1.81555438335989e-10,1.19012917777778,18.1612535236842
"3367338","KIF18A",-1.25820091111111,2.53924038888889,-8.08798791188694,1.55894679230848e-12,1.81555438335989e-10,1.25820091111111,18.1608307099968
"3421630","CCT2",-1.38612331111111,8.59075558888889,-8.08351392641259,1.59378419917919e-12,1.84635705305964e-10,1.38612331111111,18.1392665340255
"4005859","CASK",-1.21449162222222,6.58818794444444,-8.0659711081218,1.73802398540693e-12,1.99248155952041e-10,1.21449162222222,18.0547336496479
"3329343","MDK",-1.2929884,7.73795788888889,-8.06323648884835,1.76165041348514e-12,2.00910296638453e-10,1.2929884,18.0415595967581
"2324919","EPHB2",-1.36621704444444,6.03357627777778,-8.03506781314978,2.02442753072401e-12,2.29689043189517e-10,1.36621704444444,17.9059067761418
"2838656","HMMR",-1.36373062222222,2.9741302,-8.02724739707683,2.10406580463389e-12,2.37500473978444e-10,1.36373062222222,17.868262069678
"3454223","RACGAP1",-1.14348915555555,6.28979628888889,-8.01944830403393,2.18659192148112e-12,2.45556503998576e-10,1.14348915555555,17.8307271481397
