"GeneSymbol","logFC_COAD","PValue_COAD","FDR_COAD","logFC_READ","PValue_READ","FDR_READ"
"CFAP251",2.76835014934692,1.21237794270039e-32,2.02145008638071e-31,2.28662372272534,4.53220671389574e-09,4.78055777043706e-08
"CFAP92",2.9455658206692,7.21932194589243e-41,1.92167930559735e-39,2.55011196201123,8.21829644817689e-09,8.20045048150212e-08
"CFD",-2.27070490463436,5.55248576946784e-23,4.78795934147719e-22,-2.42636876236966,5.31424888357589e-08,4.45239150269114e-07
"CFL2",-2.45946030650089,1.02175525321719e-58,6.34611836654553e-57,-3.42999101442317,9.3310483103945e-31,1.77895443372957e-28
"CGREF1",3.64299766167303,5.21058121128693e-42,1.47843084478493e-40,3.2776052034164,4.19056744754882e-16,1.38304160640004e-14
"CHGA",-4.5176857194873,8.91067200906727e-48,3.36224396433991e-46,-4.3068337264723,1.86167416835715e-14,4.92080571845554e-13
"CHI3L1",2.89992680169645,1.47072396184336e-17,8.35119851911935e-17,3.24027689794778,3.30785541230121e-07,2.32379760265974e-06
"CHILL1",3.09794077649622,5.47543512401308e-30,7.54866624190789e-29,3.67583086261568,6.78873459194517e-08,5.5629132429012e-07
"CHL1",-2.34238941460205,1.70658267882179e-32,2.81943674499152e-31,-3.28871632845086,2.75613607689625e-26,2.97546473699143e-24
"CHN2-AS1",4.17531909225178,5.93980279774789e-17,3.20752900407814e-16,4.52965412392332,1.23565496882584e-06,7.53972512643103e-06
"CHODL",-2.70617786919037,1.29018648274411e-55,7.04496389399308e-54,-3.96980415473248,4.27931399614452e-36,1.32223424353286e-33
"CHP2",-3.94417593082758,2.6231050850611e-56,1.48620693753587e-54,-3.32133058370115,1.41046124769899e-15,4.3282321952078e-14
"CHRDL1",-2.94885881609472,2.26602298635722e-28,2.78234371300411e-27,-3.75310112230938,7.21161127204924e-16,2.28337960435326e-14
"CHRM2",-3.36561255543702,8.58897548355524e-32,1.34520921048334e-30,-4.47172721701065,2.32416777780274e-19,1.14742178363645e-17
"CHST4",5.24110515641519,2.06880968203934e-15,9.85287646724087e-15,4.7964416386541,0.00042679501803183,0.00129412908017152
"CHST5",-2.27585195245635,1.51464333097114e-22,1.25807277407962e-21,-2.48504198104367,6.20846465185082e-08,5.14149237642415e-07
"CIDEC",-2.19692849537653,4.97419325311822e-20,3.41578909030619e-19,-2.09971608630645,6.6401266851892e-08,5.45610776365317e-07
"CILP",-2.70022176594126,3.1832807492947e-23,2.79973801765219e-22,-3.09206508816361,6.46941854971082e-11,9.87550679977577e-10
"CILP2",2.84822163191454,7.37494506518437e-14,3.09915733801772e-13,2.46153728026995,0.000425620106560904,0.00129105245932261
"CIMIP2C",3.45450265611868,2.6514707058561e-34,4.89006954465746e-33,2.95663047137376,3.43322421771395e-11,5.43043346916607e-10
"CKMT2",3.49539130641963,3.7460909523965e-11,1.22413393371206e-10,3.49020929368766,0.000524937577753622,0.00154541199298825
"CLCA1",-2.43773885323246,2.11132330981675e-09,5.82507365312594e-09,-2.61098906205269,0.000681166658886616,0.00193887987514407
